caller_id,caller_type,callee_id,started_at,duration
+686 141 630 2349,customers,+252 588 156 8989,2018-08-04T15:52:35.914,3646
+46 983 626 0444,people,+7 401 678 5075,2018-06-05T03:29:21.247,816
+63 227 257 2272,customers,+86 682 953 4286,2018-08-07T19:32:12.215,2644
+1 136 994 5079,customers,+31 461 329 9985,2018-06-22T05:11:46.790,4821
+7 690 597 4443,people,+351 341 759 0598,2018-07-09T20:36:09.934,241
+1 662 380 0589,people,+353 609 656 9016,2018-08-16T15:26:28.384,2020
+7 371 758 4851,people,+30 588 989 7601,2018-08-03T10:54:26.438,145
+62 163 815 9844,customers,+62 429 757 5087,2018-07-20T06:46:56.862,2029
+45 792 227 1110,people,+7 562 888 4228,2018-09-01T12:49:50.907,633
+54 398 559 0423,customers,+63 390 716 1146,2018-08-30T14:31:50.376,2829
+63 958 715 1786,people,+238 464 749 7553,2018-07-05T10:09:48.157,11
+850 471 675 1116,people,+387 204 285 8067,2018-08-18T11:49:06.750,976
+351 543 997 4318,people,+502 865 188 9557,2018-06-29T05:46:02.389,1954
+86 369 549 0595,people,+238 464 749 7553,2018-07-14T22:41:10.622,152
+880 194 102 3763,people,+86 440 782 2622,2018-06-23T13:51:23.360,709
+48 503 552 2864,people,+86 133 217 5321,2018-07-07T06:20:48.726,78
+95 983 880 9416,people,+48 454 123 2284,2018-08-04T02:39:20.429,1421
+33 899 450 7675,people,+7 330 587 6318,2018-07-16T09:54:22.902,12
+86 231 940 5196,people,+33 129 764 5848,2018-07-09T04:15:19.893,3052
+86 666 694 3017,people,+86 359 390 9829,2018-06-28T09:29:20.767,156
+386 487 202 8409,people,+86 628 553 0478,2018-06-10T11:27:53.890,105
+31 461 329 9985,people,+46 425 813 2534,2018-08-09T19:47:45.308,293
+57 876 719 4988,people,+55 337 632 4995,2018-06-06T22:05:25.079,2710
+591 948 181 0275,people,+86 787 989 5295,2018-08-29T01:21:12.711,318
+62 107 530 7500,people,+33 690 415 1431,2018-08-31T21:56:09.720,470
+63 631 854 2672,customers,+591 948 181 0275,2018-09-03T02:31:48.783,3544
+47 287 788 2428,customers,+49 106 684 3294,2018-08-12T06:20:47.680,8653
+86 172 496 6097,customers,+255 288 243 6585,2018-06-11T06:03:30.657,9235
+33 789 705 4973,customers,+62 107 530 7500,2018-08-20T23:34:07.681,3806
+86 939 147 9288,people,+86 782 425 5756,2018-07-03T15:28:31.360,250
+380 193 998 0755,people,+420 684 726 9447,2018-08-23T11:12:21.378,1501
+370 351 224 5176,people,+86 976 128 0131,2018-08-26T23:16:54.008,1037
+216 124 435 9613,customers,+850 471 675 1116,2018-08-23T16:25:02.024,3079
+63 699 640 6521,customers,+81 746 154 2598,2018-06-29T12:41:39.237,1311
+46 946 207 0186,people,+48 415 130 4060,2018-06-09T03:28:17.333,780
+62 493 645 0239,people,+86 133 217 5321,2018-07-07T10:03:30.271,61
+263 498 495 0617,people,+48 690 297 4549,2018-06-09T09:10:28.671,171
+63 408 206 3263,people,+64 793 983 6804,2018-07-14T21:45:11.458,51
+63 354 310 6825,people,+30 385 759 1411,2018-07-28T01:03:31.781,87
+1 210 254 8475,people,+63 682 619 1420,2018-07-17T16:31:39.680,101
+62 828 512 9172,people,+387 204 285 8067,2018-08-31T09:18:08.468,2165
+355 556 407 0145,people,+55 311 878 6029,2018-08-28T02:45:51.155,26
+58 309 892 3683,people,+62 361 805 4508,2018-06-17T17:51:19.423,135
+62 728 538 7442,people,+62 740 670 2621,2018-08-18T14:11:43.256,1176
+49 466 689 9075,people,+62 428 249 3712,2018-07-23T03:23:48.499,66
+62 635 323 3882,customers,+30 328 155 8097,2018-08-05T17:33:03.137,9872
+1 424 265 8640,people,+62 428 249 3712,2018-07-16T09:29:54.413,120
+374 531 732 9074,people,+30 776 376 5893,2018-07-05T12:32:49.868,793
+81 746 154 2598,customers,+95 983 880 9416,2018-08-07T17:49:01.098,8795
+86 682 953 4286,people,+261 719 322 0246,2018-08-14T13:29:30.812,20
+7 454 540 0474,people,+48 327 319 3731,2018-06-12T06:03:10.436,47
+51 415 553 5490,people,+92 994 237 3140,2018-07-02T04:34:20.733,125
+255 288 243 6585,customers,+48 503 552 2864,2018-09-02T07:33:10.078,4298
+48 605 399 6898,people,+1 469 233 6069,2018-08-18T23:57:38.766,839
+49 106 684 3294,people,+33 614 339 0298,2018-07-22T15:03:19.155,3053
+51 901 242 0584,people,+86 586 994 5940,2018-08-18T10:23:45.397,1169
+27 407 187 3101,customers,+1 662 380 0589,2018-06-14T15:53:39.845,9074
+351 235 124 9020,people,+98 656 313 0103,2018-06-11T15:27:19.445,92
+30 328 155 8097,people,+351 211 159 8126,2018-06-30T07:26:11.697,134
+63 390 716 1146,people,+62 917 766 2299,2018-07-10T20:41:35.970,179
+62 691 123 7989,people,+7 555 819 6329,2018-08-13T04:02:52.701,157
+62 362 318 0581,people,+242 287 226 0957,2018-07-08T11:00:27.245,533
+221 577 657 7754,people,+55 337 632 4995,2018-07-13T10:11:59.946,979
+263 498 495 0617,people,+380 536 814 3789,2018-06-15T08:39:15.248,2641
+420 538 824 5280,people,+371 219 609 1595,2018-06-28T20:17:41.063,947
+252 588 156 8989,people,+86 521 430 5953,2018-07-20T05:06:43.983,111
+62 587 949 6348,people,+63 594 112 6128,2018-07-04T23:02:05.030,126
+389 785 553 2178,people,+66 435 621 0363,2018-07-03T19:24:44.950,17
+55 595 171 0583,people,+380 536 814 3789,2018-08-15T23:06:44.327,852
+54 890 522 5284,people,+353 814 506 4700,2018-09-02T19:12:41.560,1132
+7 171 898 0853,customers,+51 415 553 5490,2018-08-16T06:32:39.494,6398
+7 722 998 0596,people,+7 457 874 9277,2018-06-26T23:14:15.853,120
+263 498 495 0617,people,+971 477 289 5571,2018-07-19T11:56:23.725,77
+1 384 132 9095,customers,+55 316 423 7951,2018-06-16T17:16:49.125,6294
+263 498 495 0617,people,+86 440 782 2622,2018-08-21T05:40:30.985,518
+263 498 495 0617,people,+48 697 447 6933,2018-07-10T22:12:49.222,113
+263 498 495 0617,customers,+7 171 898 0853,2018-06-17T04:31:42.075,9251
+263 498 495 0617,people,+32 331 499 7500,2018-07-14T16:18:23.059,115
+263 498 495 0617,people,+86 226 243 1746,2018-07-07T21:58:43.842,577
+263 498 495 0617,customers,+86 369 549 0595,2018-08-15T09:30:18.587,5771
+263 498 495 0617,people,+7 383 439 7314,2018-07-16T16:57:04.696,110
+263 498 495 0617,people,+47 544 568 9437,2018-06-28T11:44:26.310,147
+263 498 495 0617,people,+62 222 827 2055,2018-08-25T02:55:38.547,938
+263 498 495 0617,customers,+62 441 776 5105,2018-07-31T12:56:20.326,2082
+263 498 495 0617,people,+963 581 584 9910,2018-06-07T12:04:06.753,3259
+263 498 495 0617,people,+234 772 990 8535,2018-08-24T14:14:30.460,1100
+263 498 495 0617,people,+86 586 506 6067,2018-07-14T20:24:06.943,51
+263 498 495 0617,customers,+63 408 206 3263,2018-08-02T18:42:57.384,1510
+263 498 495 0617,customers,+7 171 898 0853,2018-08-13T07:41:00.291,6903
+263 498 495 0617,people,+57 609 779 5176,2018-06-12T07:21:09.403,17
+263 498 495 0617,people,+52 223 678 9386,2018-07-10T01:14:39.561,921
+263 498 495 0617,people,+351 573 522 8513,2018-08-29T11:33:51.213,106
+263 498 495 0617,people,+33 130 458 6541,2018-07-06T02:48:11.122,1043
+263 498 495 0617,people,+86 989 998 5001,2018-07-05T16:18:10.493,44
+263 498 495 0617,people,+62 222 827 2055,2018-06-14T03:36:52.205,144
+263 498 495 0617,customers,+351 699 781 7790,2018-06-21T09:32:36.101,7151
+263 498 495 0617,people,+1 469 233 6069,2018-07-29T10:02:21.285,153
+263 498 495 0617,customers,+66 615 504 8426,2018-08-03T22:03:03.527,10619
+263 498 495 0617,people,+86 868 734 5069,2018-08-10T02:28:24.171,599
+263 498 495 0617,customers,+86 521 724 9687,2018-07-03T09:02:54.269,1527
+263 498 495 0617,people,+63 568 308 7439,2018-08-24T21:21:05.028,136
+263 498 495 0617,people,+30 385 759 1411,2018-08-29T00:53:33.886,148
+263 498 495 0617,people,+53 518 683 3767,2018-08-15T17:36:24.355,427
+263 498 495 0617,people,+86 586 994 5940,2018-06-12T21:42:28.663,902
+263 498 495 0617,people,+55 685 314 9379,2018-08-06T15:24:51.186,1379
+263 498 495 0617,people,+62 546 589 0805,2018-08-21T23:48:33.750,66
+263 498 495 0617,people,+86 183 374 6732,2018-06-18T16:38:51.399,112
+263 498 495 0617,people,+34 547 482 5737,2018-08-05T13:24:05.290,3240
+263 498 495 0617,people,+48 851 232 2656,2018-08-25T07:19:03.169,95
+263 498 495 0617,people,+48 685 918 7460,2018-08-31T07:01:49.348,571
+263 498 495 0617,people,+507 911 871 1991,2018-07-10T13:45:54.386,486
+263 498 495 0617,people,+86 133 298 2856,2018-08-18T07:51:49.564,127
+263 498 495 0617,people,+86 974 870 5788,2018-07-04T02:38:18.594,124
+263 498 495 0617,customers,+33 454 926 8596,2018-08-28T07:13:39.571,6428
+263 498 495 0617,people,+967 974 664 3827,2018-08-26T08:21:13.979,562
+263 498 495 0617,people,+98 656 313 0103,2018-06-29T04:34:54.921,507
+263 498 495 0617,people,+7 873 600 5716,2018-09-02T06:27:38.111,983
+263 498 495 0617,people,+86 366 795 3504,2018-06-21T11:14:50.733,753
+263 498 495 0617,people,+86 848 470 7531,2018-08-07T12:39:05.156,552
+263 498 495 0617,people,+7 418 775 0946,2018-07-27T17:35:51.155,1124
+263 498 495 0617,people,+63 210 501 5367,2018-07-09T13:24:09.498,83
+263 498 495 0617,people,+371 496 261 5112,2018-07-18T20:31:01.718,479
+263 498 495 0617,people,+48 972 978 5313,2018-07-25T02:50:02.732,1157
+263 498 495 0617,people,+351 272 414 6570,2018-06-21T18:06:49.828,174
+263 498 495 0617,people,+81 918 768 4173,2018-08-23T05:09:32.059,144
+263 498 495 0617,people,+255 587 909 4812,2018-08-27T11:40:12.909,168
+263 498 495 0617,people,+62 428 249 3712,2018-08-22T18:20:21.136,44
+263 498 495 0617,people,+63 682 619 1420,2018-06-11T18:07:08.710,23
+263 498 495 0617,people,+55 311 878 6029,2018-08-07T12:41:27.403,85
+263 498 495 0617,customers,+30 328 155 8097,2018-06-14T21:34:59.793,2852
+263 498 495 0617,people,+86 183 374 6732,2018-08-01T06:33:21.748,652
+263 498 495 0617,customers,+86 172 496 6097,2018-06-21T17:38:03.024,8412
+263 498 495 0617,people,+86 186 512 0374,2018-08-08T07:41:33.930,307
+263 498 495 0617,customers,+7 884 177 0089,2018-06-29T00:51:12.251,10259
+263 498 495 0617,customers,+54 890 522 5284,2018-09-04T08:31:14.640,10644
+263 498 495 0617,people,+66 476 694 0263,2018-07-19T06:54:19.431,506
+263 498 495 0617,people,+86 868 734 5069,2018-07-24T07:28:55.574,954
+263 498 495 0617,customers,+7 690 597 4443,2018-06-06T08:06:04.305,6359
+263 498 495 0617,people,+1 469 233 6069,2018-07-17T09:06:59.472,87
+263 498 495 0617,customers,+62 163 815 9844,2018-07-27T04:03:48.261,1205
+263 498 495 0617,customers,+98 238 641 5078,2018-07-04T08:59:25.950,7213
+263 498 495 0617,people,+63 585 918 6925,2018-08-10T09:13:16.879,141
+263 498 495 0617,people,+86 517 144 6586,2018-06-10T21:31:14.516,3565
+263 498 495 0617,people,+7 282 110 8736,2018-08-21T16:03:28.531,2524
+263 498 495 0617,people,+57 204 339 0594,2018-08-02T14:32:22.617,13
+263 498 495 0617,people,+66 476 694 0263,2018-08-04T03:45:01.875,134
+263 498 495 0617,people,+46 425 813 2534,2018-08-07T21:24:00.190,165
+263 498 495 0617,people,+351 960 435 4039,2018-06-14T06:48:55.133,3058
+263 498 495 0617,customers,+597 769 358 0569,2018-07-12T05:35:38.569,4118
+263 498 495 0617,people,+63 735 226 4468,2018-07-18T04:32:22.815,181
+263 498 495 0617,people,+55 337 632 4995,2018-07-05T19:26:46.156,70
+263 498 495 0617,people,+48 685 918 7460,2018-07-01T17:11:44.742,204
+263 498 495 0617,people,+351 960 435 4039,2018-06-20T14:05:46.446,142
+263 498 495 0617,people,+86 989 998 5001,2018-07-23T06:35:43.259,157
+263 498 495 0617,people,+353 863 857 4894,2018-06-20T16:32:16.448,83
+263 498 495 0617,customers,+355 556 407 0145,2018-07-22T07:17:58.427,10321
+263 498 495 0617,customers,+48 708 591 4609,2018-09-03T03:02:53.390,9442
+263 498 495 0617,people,+249 672 592 1575,2018-08-17T18:14:08.789,128
+263 498 495 0617,customers,+63 958 715 1786,2018-08-09T12:50:02.955,1282
+263 498 495 0617,people,+507 317 464 4324,2018-06-29T23:19:14.080,3
+263 498 495 0617,people,+212 521 165 3985,2018-07-19T18:28:44.690,2671
+263 498 495 0617,people,+996 926 328 2482,2018-08-27T10:21:18.920,455
+263 498 495 0617,people,+86 186 512 0374,2018-08-30T14:41:12.379,94
+263 498 495 0617,customers,+33 899 450 7675,2018-07-16T07:03:35.190,6430
+263 498 495 0617,customers,+49 686 145 1656,2018-06-28T18:23:12.455,3991
+263 498 495 0617,people,+46 696 713 1592,2018-07-24T13:23:32.502,611
+263 498 495 0617,people,+371 496 261 5112,2018-06-19T09:41:40.012,1145
+263 498 495 0617,people,+86 528 326 7970,2018-06-20T18:23:19.860,619
+263 498 495 0617,customers,+31 461 329 9985,2018-09-03T05:20:54.725,2802
+263 498 495 0617,people,+996 926 328 2482,2018-07-30T03:43:21.802,973
+263 498 495 0617,people,+48 894 777 5173,2018-06-30T18:06:41.562,140
+263 498 495 0617,people,+351 272 414 6570,2018-08-28T08:14:34.863,425
+263 498 495 0617,customers,+86 467 545 3578,2018-06-30T00:57:13.332,5395
+263 498 495 0617,people,+235 930 965 2190,2018-09-03T01:21:19.362,811
+263 498 495 0617,people,+374 758 876 6667,2018-07-20T07:50:18.523,1013
+263 498 495 0617,people,+356 279 523 0402,2018-09-02T05:55:14.083,724
+263 498 495 0617,people,+86 573 203 6463,2018-07-07T09:13:18.343,41
+263 498 495 0617,people,+30 419 575 7546,2018-09-04T03:16:52.455,158
+263 498 495 0617,customers,+86 172 496 6097,2018-07-19T18:52:24.347,3820
+263 498 495 0617,customers,+7 371 758 4851,2018-08-13T10:22:55.626,5303
+263 498 495 0617,people,+48 327 319 3731,2018-07-06T22:19:35.844,151
+263 498 495 0617,customers,+48 605 399 6898,2018-09-02T02:41:38.671,7903
+263 498 495 0617,people,+86 984 961 8903,2018-08-27T19:45:38.042,153
+263 498 495 0617,customers,+95 983 880 9416,2018-08-29T17:19:19.427,10629
+263 498 495 0617,people,+234 370 280 1569,2018-06-19T14:45:13.742,152
+263 498 495 0617,people,+48 735 538 2574,2018-08-28T01:50:56.696,168
+263 498 495 0617,people,+86 241 252 5167,2018-08-02T01:31:01.160,189
+263 498 495 0617,people,+1 254 875 4647,2018-08-20T04:53:53.148,564
+263 498 495 0617,people,+48 735 538 2574,2018-06-27T12:03:04.080,1127
+263 498 495 0617,people,+57 722 575 9749,2018-06-13T08:04:48.094,46
+263 498 495 0617,people,+66 476 694 0263,2018-07-18T09:17:25.883,175
+263 498 495 0617,people,+967 190 245 1537,2018-07-13T16:38:27.531,1001
+263 498 495 0617,people,+1 290 555 8205,2018-06-11T05:02:28.022,31
+263 498 495 0617,people,+30 588 989 7601,2018-08-20T13:25:35.057,2186
+263 498 495 0617,people,+507 911 871 1991,2018-06-24T08:58:30.480,874
+263 498 495 0617,customers,+63 958 715 1786,2018-06-15T13:03:24.819,4083
+263 498 495 0617,people,+63 367 339 5563,2018-08-31T14:25:54.770,2102
+263 498 495 0617,people,+63 756 936 8563,2018-08-20T01:04:19.907,264
+263 498 495 0617,people,+63 808 497 1769,2018-06-27T14:26:01.800,131
+263 498 495 0617,people,+86 586 994 5940,2018-06-20T03:32:49.388,7
+263 498 495 0617,people,+351 193 656 5262,2018-08-18T13:33:14.802,151
+263 498 495 0617,people,+86 815 244 2113,2018-08-21T09:26:56.149,133
+263 498 495 0617,customers,+62 728 538 7442,2018-07-08T20:38:03.739,3012
+263 498 495 0617,people,+86 492 461 2951,2018-08-12T22:15:15.320,1068
+263 498 495 0617,people,+33 130 458 6541,2018-08-21T08:09:57.411,98
+263 498 495 0617,customers,+355 556 407 0145,2018-07-25T02:42:20.812,6584
+263 498 495 0617,people,+57 555 972 0633,2018-06-14T18:59:51.372,108
+263 498 495 0617,people,+55 904 918 5912,2018-08-23T11:17:32.293,1195
+263 498 495 0617,people,+86 440 782 2622,2018-08-26T04:49:38.103,2185
+263 498 495 0617,customers,+63 390 716 1146,2018-06-08T10:29:26.583,6232
+263 498 495 0617,customers,+389 785 553 2178,2018-06-18T00:25:55.935,3906
+263 498 495 0617,customers,+850 471 675 1116,2018-07-14T23:09:06.440,1206
+263 498 495 0617,customers,+51 901 242 0584,2018-07-20T08:21:54.652,4294
+263 498 495 0617,customers,+351 699 781 7790,2018-06-11T07:34:35.501,5417
+263 498 495 0617,people,+92 994 237 3140,2018-08-18T00:22:48.258,984
+263 498 495 0617,people,+86 856 824 5215,2018-06-28T10:31:27.790,222
+263 498 495 0617,people,+81 928 887 8969,2018-07-12T22:25:47.670,921
+263 498 495 0617,people,+81 918 768 4173,2018-08-13T10:06:42.808,23
+263 498 495 0617,people,+86 834 941 7510,2018-07-03T07:30:46.988,111
+263 498 495 0617,people,+234 731 633 1022,2018-07-09T07:31:21.834,463
+263 498 495 0617,people,+234 731 633 1022,2018-07-27T17:20:23.149,112
+263 498 495 0617,people,+33 130 458 6541,2018-08-15T08:01:06.005,131
+263 498 495 0617,customers,+86 666 694 3017,2018-07-01T18:00:35.587,8012
+263 498 495 0617,people,+86 921 547 9004,2018-09-04T08:08:15.097,132
+263 498 495 0617,customers,+58 309 892 3683,2018-06-11T05:26:27.127,5279
+263 498 495 0617,people,+46 696 713 1592,2018-07-01T05:05:51.005,1180
+263 498 495 0617,people,+63 536 683 3262,2018-06-17T18:28:22.177,825
+263 498 495 0617,customers,+86 682 953 4286,2018-08-15T14:26:39.277,4447
+263 498 495 0617,people,+506 708 178 6852,2018-06-25T14:50:23.870,129
+263 498 495 0617,people,+30 776 376 5893,2018-06-17T15:41:10.068,54
+263 498 495 0617,people,+84 226 135 9243,2018-07-02T19:33:39.059,1020
+263 498 495 0617,customers,+597 769 358 0569,2018-07-22T16:24:23.758,10694
+263 498 495 0617,people,+62 106 468 0924,2018-08-16T05:08:20.681,33
+263 498 495 0617,people,+48 851 232 2656,2018-06-23T10:07:10.491,8
+263 498 495 0617,customers,+62 493 645 0239,2018-07-20T22:58:02.775,1242
+263 498 495 0617,people,+86 359 390 9829,2018-07-10T16:03:19.134,140
+263 498 495 0617,customers,+221 577 657 7754,2018-06-26T06:14:31.145,5448
+263 498 495 0617,people,+1 841 103 5702,2018-08-12T05:47:29.409,431
+263 498 495 0617,people,+261 719 322 0246,2018-08-06T00:39:24.228,55
+263 498 495 0617,customers,+62 587 949 6348,2018-08-28T07:22:05.005,9391
+263 498 495 0617,people,+7 250 295 1424,2018-08-11T19:48:05.775,127
+263 498 495 0617,people,+47 544 568 9437,2018-06-18T10:17:47.099,1638
+263 498 495 0617,people,+48 972 978 5313,2018-07-20T15:09:49.383,699
+263 498 495 0617,people,+62 222 827 2055,2018-07-30T17:58:15.233,78
+263 498 495 0617,people,+86 608 352 6646,2018-08-18T00:59:27.586,139
+263 498 495 0617,people,+967 362 261 2147,2018-06-20T01:10:29.579,103
+263 498 495 0617,people,+92 994 237 3140,2018-06-19T22:32:46.369,840
+263 498 495 0617,people,+81 928 887 8969,2018-06-25T14:53:29.988,832
+263 498 495 0617,customers,+55 595 171 0583,2018-08-13T21:15:34.500,7788
+263 498 495 0617,customers,+686 141 630 2349,2018-08-06T09:14:47.781,3960
+263 498 495 0617,people,+255 587 909 4812,2018-07-21T23:37:28.465,255
+263 498 495 0617,people,+62 391 403 5968,2018-07-11T10:36:53.613,158
+263 498 495 0617,people,+86 628 553 0478,2018-08-10T07:27:22.044,699
+263 498 495 0617,customers,+86 467 545 3578,2018-06-17T09:53:59.031,3613
+263 498 495 0617,customers,+98 238 641 5078,2018-08-31T21:02:21.595,5089
+263 498 495 0617,people,+502 865 188 9557,2018-07-16T05:22:45.076,20
+263 498 495 0617,people,+351 515 605 7915,2018-06-24T04:20:40.030,168
+263 498 495 0617,customers,+62 493 645 0239,2018-06-08T07:17:10.598,7994
+263 498 495 0617,people,+234 731 633 1022,2018-06-16T10:29:16.315,287
+263 498 495 0617,people,+86 984 961 8903,2018-06-05T06:53:35.874,341
+263 498 495 0617,people,+1 298 466 9632,2018-08-27T00:31:18.573,321
+263 498 495 0617,people,+7 134 869 6173,2018-08-10T03:46:03.587,173
+263 498 495 0617,people,+7 282 110 8736,2018-08-30T10:55:25.387,1386
+263 498 495 0617,people,+7 418 775 0946,2018-09-04T16:35:38.319,84
+263 498 495 0617,people,+7 616 313 9033,2018-06-28T21:49:31.177,107
+263 498 495 0617,people,+66 968 183 5601,2018-06-25T02:41:09.532,105
+263 498 495 0617,customers,+63 354 310 6825,2018-07-29T04:56:31.428,4165
+263 498 495 0617,customers,+880 194 102 3763,2018-06-29T09:15:25.026,8783
+263 498 495 0617,customers,+591 948 181 0275,2018-08-06T05:41:31.978,5444
+263 498 495 0617,customers,+63 631 854 2672,2018-08-04T19:53:01.364,5815
+263 498 495 0617,people,+506 708 178 6852,2018-07-20T08:40:40.517,180
+263 498 495 0617,people,+1 841 103 5702,2018-08-13T15:00:46.182,954
+263 498 495 0617,people,+86 586 506 6067,2018-08-20T23:09:24.524,76
+263 498 495 0617,people,+7 636 684 8842,2018-08-19T06:38:02.769,930
+263 498 495 0617,customers,+66 406 272 0080,2018-08-12T18:30:59.894,4756
+263 498 495 0617,people,+351 515 605 7915,2018-06-11T03:08:01.139,180
+263 498 495 0617,customers,+370 351 224 5176,2018-06-09T14:03:20.637,3288
+263 498 495 0617,people,+234 772 990 8535,2018-07-06T23:43:54.798,161
+263 498 495 0617,customers,+1 424 265 8640,2018-08-19T15:59:10.543,6821
+263 498 495 0617,people,+55 818 149 1788,2018-06-27T18:07:06.392,560
+263 498 495 0617,customers,+63 699 640 6521,2018-08-16T03:28:33.751,4390
+263 498 495 0617,people,+7 562 888 4228,2018-06-27T00:54:00.511,248
+263 498 495 0617,people,+86 226 243 1746,2018-07-31T07:25:22.479,118
+263 498 495 0617,people,+86 892 682 0628,2018-08-30T06:24:24.671,152
+263 498 495 0617,customers,+62 691 123 7989,2018-08-31T11:07:07.996,7051
+263 498 495 0617,people,+86 940 763 2162,2018-06-05T12:52:24.005,64
+263 498 495 0617,people,+81 918 768 4173,2018-09-04T02:20:29.397,139
+263 498 495 0617,people,+51 886 864 7025,2018-08-08T09:04:21.122,131
+263 498 495 0617,people,+81 952 168 4332,2018-08-29T07:44:57.865,945
+263 498 495 0617,customers,+86 467 545 3578,2018-08-18T01:31:54.661,2781
+263 498 495 0617,people,+48 972 978 5313,2018-08-01T16:28:12.295,981
+263 498 495 0617,people,+62 561 742 2917,2018-07-04T15:21:40.860,749
+263 498 495 0617,customers,+1 136 994 5079,2018-06-20T12:37:12.180,6124
+263 498 495 0617,people,+86 133 298 2856,2018-08-27T05:57:33.872,915
+263 498 495 0617,people,+86 586 506 6067,2018-07-07T23:32:52.614,111
+263 498 495 0617,people,+86 608 352 6646,2018-08-22T13:46:18.733,104
+263 498 495 0617,people,+82 340 347 2830,2018-08-29T06:00:27.633,654
+263 498 495 0617,people,+30 385 759 1411,2018-08-08T05:06:16.173,799
+263 498 495 0617,people,+967 190 245 1537,2018-07-27T06:22:39.529,249
+263 498 495 0617,customers,+62 728 538 7442,2018-08-26T23:29:57.036,6441
+263 498 495 0617,people,+86 145 764 6894,2018-07-28T03:21:09.661,5
+263 498 495 0617,people,+86 133 298 2856,2018-06-22T20:48:09.695,4
+263 498 495 0617,customers,+63 958 715 1786,2018-06-24T08:17:53.953,2600
+263 498 495 0617,people,+55 818 149 1788,2018-07-04T06:21:05.522,75
+263 498 495 0617,people,+55 818 149 1788,2018-08-18T06:27:39.224,728
+263 498 495 0617,people,+33 365 243 5088,2018-08-20T03:28:51.196,433
+263 498 495 0617,people,+54 551 794 1201,2018-06-12T00:14:53.154,130
+263 498 495 0617,people,+374 758 876 6667,2018-08-22T14:17:48.705,29
+263 498 495 0617,people,+55 231 788 9595,2018-06-30T14:24:23.296,96
+263 498 495 0617,people,+32 331 499 7500,2018-08-16T00:14:04.531,112
+263 498 495 0617,people,+84 376 781 0709,2018-08-14T06:47:31.206,32
+263 498 495 0617,people,+358 537 676 5596,2018-07-31T02:12:51.330,465
+263 498 495 0617,people,+351 398 218 9116,2018-06-17T16:38:37.109,210
+263 498 495 0617,people,+63 210 501 5367,2018-07-15T08:53:49.665,104
+263 498 495 0617,people,+86 597 782 5745,2018-07-04T05:56:56.567,2341
+263 498 495 0617,people,+63 584 757 2676,2018-07-11T05:46:29.276,584
+263 498 495 0617,people,+358 537 676 5596,2018-09-03T16:29:46.287,94
+263 498 495 0617,people,+51 342 271 7550,2018-07-12T23:50:33.060,1150
+263 498 495 0617,people,+7 562 888 4228,2018-07-27T22:42:25.364,911
+263 498 495 0617,people,+686 936 384 2972,2018-07-11T21:11:09.801,594
+263 498 495 0617,people,+63 568 308 7439,2018-07-02T00:52:48.951,49
+263 498 495 0617,people,+63 705 641 2260,2018-08-07T20:49:31.321,102
+263 498 495 0617,customers,+380 193 998 0755,2018-06-12T17:16:23.478,4774
